loan_status,Principal,terms,age,Gender,dayofweek,Bechalor,High School or Below,Master or Above,college
PAIDOFF,800,15,35,0,0,1,0,0,0
PAIDOFF,800,15,23,0,0,0,0,0,1
PAIDOFF,500,15,23,1,0,0,0,0,1
PAIDOFF,1000,15,30,0,0,0,0,0,1
PAIDOFF,1000,30,34,0,0,0,0,0,1
PAIDOFF,1000,30,36,1,0,0,1,0,0
PAIDOFF,800,15,29,0,0,0,1,0,0
PAIDOFF,1000,15,28,1,0,0,0,0,1
PAIDOFF,1000,30,27,0,0,0,1,0,0
PAIDOFF,1000,15,24,0,0,0,1,0,0
PAIDOFF,800,15,31,0,0,1,0,0,0
PAIDOFF,1000,30,28,0,0,0,1,0,0
PAIDOFF,1000,15,27,1,0,0,0,0,1
PAIDOFF,1000,15,25,0,0,0,1,0,0
PAIDOFF,1000,30,24,0,0,0,1,0,0
PAIDOFF,1000,30,28,0,0,0,0,0,1
PAIDOFF,1000,15,35,0,0,0,1,0,0
PAIDOFF,1000,15,38,0,0,0,1,0,0
PAIDOFF,1000,30,29,0,0,0,0,0,1
PAIDOFF,800,15,35,0,0,0,1,0,0
PAIDOFF,1000,30,24,0,0,0,0,0,1
PAIDOFF,800,15,39,0,0,0,1,0,0
PAIDOFF,800,15,25,0,0,0,0,0,1
PAIDOFF,1000,30,38,0,0,0,1,0,0
PAIDOFF,1000,30,30,0,0,0,0,0,1
PAIDOFF,1000,30,21,0,0,0,1,0,0
PAIDOFF,1000,15,31,1,0,0,1,0,0
PAIDOFF,300,7,29,0,0,0,1,0,0
PAIDOFF,1000,30,35,0,0,0,1,0,0
PAIDOFF,800,15,30,0,0,0,1,0,0
PAIDOFF,1000,30,27,0,0,0,1,0,0
PAIDOFF,1000,30,31,1,0,0,1,0,0
PAIDOFF,1000,15,34,0,0,0,1,0,0
PAIDOFF,800,15,28,0,0,0,0,0,1
PAIDOFF,800,15,42,0,0,0,0,0,1
PAIDOFF,1000,30,32,0,0,0,0,0,1
PAIDOFF,1000,30,30,0,0,0,1,0,0
PAIDOFF,1000,15,25,1,0,0,1,0,0
PAIDOFF,1000,30,27,1,0,0,1,0,0
PAIDOFF,800,15,21,0,0,0,0,0,1
PAIDOFF,1000,30,24,0,0,0,0,0,1
PAIDOFF,1000,15,40,0,0,0,0,0,1
PAIDOFF,1000,30,29,0,0,0,1,0,0
PAIDOFF,1000,15,30,0,0,0,0,0,1
PAIDOFF,1000,30,26,1,0,0,1,0,0
PAIDOFF,800,15,27,0,0,0,0,0,1
PAIDOFF,1000,30,20,0,0,0,0,0,1
PAIDOFF,1000,7,26,1,0,1,0,0,0
PAIDOFF,1000,30,26,0,0,0,0,0,1
PAIDOFF,1000,30,27,0,0,0,0,0,1
PAIDOFF,300,7,23,0,0,0,1,0,0
PAIDOFF,1000,30,39,0,0,0,1,0,0
PAIDOFF,1000,15,27,0,0,0,1,0,0
PAIDOFF,1000,30,30,0,0,0,1,0,0
PAIDOFF,1000,30,33,1,0,0,1,0,0
PAIDOFF,1000,30,27,0,0,0,1,0,0
PAIDOFF,1000,30,35,0,0,0,1,0,0
PAIDOFF,1000,30,29,1,0,0,0,0,1
PAIDOFF,1000,15,50,0,0,0,1,0,0
PAIDOFF,800,15,31,1,0,0,1,0,0
PAIDOFF,1000,15,31,0,0,0,1,0,0
PAIDOFF,1000,30,29,0,0,0,1,0,0
PAIDOFF,1000,15,35,0,0,0,0,0,1
PAIDOFF,1000,30,39,0,0,0,0,0,1
PAIDOFF,1000,15,30,0,0,0,1,0,0
PAIDOFF,1000,30,33,0,0,1,0,0,0
PAIDOFF,1000,30,26,0,0,0,1,0,0
PAIDOFF,1000,15,25,0,0,0,1,0,0
PAIDOFF,800,15,37,0,0,1,0,0,0
PAIDOFF,800,15,26,0,0,0,1,0,0
PAIDOFF,800,15,26,0,0,0,0,0,1
PAIDOFF,1000,15,27,0,0,0,0,0,1
PAIDOFF,1000,7,34,1,0,0,0,0,1
PAIDOFF,1000,30,37,0,0,0,0,0,1
PAIDOFF,1000,30,36,0,0,0,1,0,0
PAIDOFF,800,15,33,0,0,0,1,0,0
PAIDOFF,1000,30,30,0,0,0,1,0,0
PAIDOFF,800,15,36,0,0,0,1,0,0
PAIDOFF,1000,15,29,0,0,0,0,0,1
PAIDOFF,1000,30,32,0,0,0,1,0,0
PAIDOFF,1000,15,29,1,0,0,1,0,0
PAIDOFF,800,15,36,0,0,1,0,0,0
PAIDOFF,800,15,30,1,0,0,1,0,0
PAIDOFF,1000,7,31,0,1,0,0,0,1
PAIDOFF,1000,30,19,1,1,0,1,0,0
PAIDOFF,800,15,26,0,1,0,0,0,1
PAIDOFF,800,15,34,0,1,0,1,0,0
PAIDOFF,1000,30,35,0,1,0,1,0,0
PAIDOFF,1000,15,35,1,1,1,0,0,0
PAIDOFF,800,15,38,0,1,0,0,0,1
PAIDOFF,500,7,22,0,1,0,1,0,0
PAIDOFF,1000,30,32,0,1,0,0,0,1
PAIDOFF,1000,30,31,0,1,0,0,0,1
PAIDOFF,800,15,28,0,1,0,0,0,1
PAIDOFF,1000,15,37,1,1,0,0,0,1
PAIDOFF,1000,7,25,0,1,0,0,0,1
PAIDOFF,1000,30,19,0,1,0,1,0,0
PAIDOFF,800,15,51,0,1,0,0,0,1
PAIDOFF,1000,15,29,0,1,0,1,0,0
PAIDOFF,800,30,23,1,1,0,0,0,1
PAIDOFF,1000,15,30,0,1,0,1,0,0
PAIDOFF,1000,15,34,1,1,1,0,0,0
PAIDOFF,800,15,31,1,1,1,0,0,0
PAIDOFF,1000,15,24,0,2,0,1,0,0
PAIDOFF,1000,30,42,0,2,0,1,0,0
PAIDOFF,800,30,40,1,2,0,0,0,1
PAIDOFF,1000,30,29,0,2,0,1,0,0
PAIDOFF,1000,30,32,1,2,0,0,0,1
PAIDOFF,1000,30,28,0,2,0,0,0,1
PAIDOFF,1000,30,35,0,2,0,1,0,0
PAIDOFF,1000,30,30,0,2,1,0,0,0
PAIDOFF,800,15,44,0,2,0,0,0,1
PAIDOFF,800,15,37,0,2,0,1,0,0
PAIDOFF,1000,30,31,0,2,0,0,0,1
PAIDOFF,800,15,36,0,2,0,0,0,1
PAIDOFF,800,30,31,0,2,0,0,0,1
PAIDOFF,800,15,42,0,2,0,1,0,0
PAIDOFF,1000,15,28,0,2,1,0,0,0
PAIDOFF,1000,30,30,0,2,0,0,0,1
PAIDOFF,1000,30,30,0,2,0,1,0,0
PAIDOFF,1000,15,24,0,2,1,0,0,0
PAIDOFF,1000,30,34,0,2,1,0,0,0
PAIDOFF,1000,30,29,0,2,0,0,0,1
PAIDOFF,1000,30,34,0,2,1,0,0,0
PAIDOFF,800,15,28,0,2,0,1,0,0
PAIDOFF,1000,15,30,1,2,0,0,0,1
PAIDOFF,1000,30,41,0,2,0,1,0,0
PAIDOFF,1000,30,29,0,2,0,0,0,1
PAIDOFF,1000,30,37,0,2,0,1,0,0
PAIDOFF,1000,30,36,0,2,1,0,0,0
PAIDOFF,800,15,27,0,2,0,0,0,1
PAIDOFF,1000,30,29,0,2,0,1,0,0
PAIDOFF,1000,30,40,0,2,0,1,0,0
PAIDOFF,1000,30,28,0,2,0,0,0,1
COLLECTION,1000,15,29,0,4,0,0,0,1
COLLECTION,1000,30,37,0,4,0,1,0,0
COLLECTION,800,15,27,0,4,0,0,0,1
COLLECTION,800,15,24,0,4,1,0,0,0
COLLECTION,800,15,28,0,5,0,0,0,1
COLLECTION,1000,30,40,0,5,0,1,0,0
COLLECTION,1000,30,33,0,5,0,0,0,1
COLLECTION,1000,30,27,0,5,0,1,0,0
COLLECTION,1000,30,24,0,5,0,0,0,1
COLLECTION,1000,30,30,0,5,0,1,0,0
COLLECTION,1000,15,29,0,5,0,1,0,0
COLLECTION,1000,30,22,0,5,1,0,0,0
COLLECTION,1000,15,24,0,5,1,0,0,0
COLLECTION,1000,30,25,0,5,0,0,0,1
COLLECTION,1000,30,28,0,5,0,1,0,0
COLLECTION,1000,30,37,0,5,0,0,0,1
COLLECTION,800,15,32,0,5,0,0,0,1
COLLECTION,1000,15,34,0,5,0,0,0,1
COLLECTION,1000,30,28,0,6,1,0,0,0
COLLECTION,800,15,35,0,6,1,0,0,0
COLLECTION,1000,30,27,0,6,0,0,0,1
COLLECTION,1000,30,44,0,6,1,0,0,0
COLLECTION,1000,15,31,0,6,0,0,0,1
COLLECTION,1000,30,21,0,6,0,1,0,0
COLLECTION,1000,30,30,1,6,0,1,0,0
COLLECTION,1000,30,38,1,6,0,0,0,1
COLLECTION,1000,30,34,0,6,0,1,0,0
COLLECTION,1000,30,31,0,6,0,0,0,1
COLLECTION,1000,30,23,0,6,0,1,0,0
COLLECTION,1000,15,27,1,6,0,0,0,1
COLLECTION,1000,15,39,0,6,0,1,0,0
COLLECTION,1000,30,30,1,6,0,1,0,0
COLLECTION,1000,30,25,0,6,0,0,0,1
COLLECTION,1000,15,50,0,6,0,0,1,0
COLLECTION,1000,30,23,0,6,0,1,0,0
COLLECTION,800,15,38,0,6,1,0,0,0
COLLECTION,1000,30,27,0,6,0,1,0,0
COLLECTION,1000,30,31,0,6,0,1,0,0
COLLECTION,800,15,40,0,6,0,0,0,1
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,15,25,0,6,0,0,0,1
COLLECTION,1000,30,35,0,6,0,1,0,0
COLLECTION,1000,30,41,0,6,0,1,0,0
COLLECTION,1000,30,37,0,6,0,1,0,0
COLLECTION,1000,15,34,0,6,0,0,0,1
COLLECTION,1000,30,45,0,6,0,1,0,0
COLLECTION,1000,30,26,0,6,1,0,0,0
COLLECTION,1000,30,32,0,6,0,0,0,1
COLLECTION,1000,30,28,0,6,0,1,0,0
COLLECTION,1000,30,34,0,6,0,0,0,1
COLLECTION,800,15,29,0,6,0,1,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,15,26,0,6,0,0,0,1
COLLECTION,800,15,22,0,6,0,0,0,1
COLLECTION,1000,30,27,1,6,0,1,0,0
COLLECTION,800,30,33,0,6,0,1,0,0
COLLECTION,800,15,28,0,6,1,0,0,0
COLLECTION,1000,30,24,0,6,0,0,0,1
COLLECTION,1000,30,18,0,6,0,0,0,1
COLLECTION,800,15,25,0,6,0,1,0,0
COLLECTION,1000,15,40,0,6,0,1,0,0
COLLECTION,1000,30,29,0,6,0,0,0,1
COLLECTION,800,15,26,1,6,0,1,0,0
COLLECTION,1000,15,30,0,6,0,0,0,1
COLLECTION,1000,30,33,0,6,0,0,0,1
COLLECTION,1000,30,30,0,6,0,0,0,1
COLLECTION,1000,30,32,0,6,0,0,0,1
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,800,15,35,0,6,0,1,0,0
COLLECTION,1000,15,30,0,6,1,0,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,29,0,6,0,1,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,800,15,46,0,6,0,1,0,0
COLLECTION,1000,30,36,0,6,0,1,0,0
COLLECTION,1000,15,38,0,6,1,0,0,0
COLLECTION,1000,15,32,0,6,0,1,0,0
COLLECTION,1000,15,30,0,6,0,0,0,1
COLLECTION,800,15,35,0,6,0,1,0,0
COLLECTION,1000,30,29,1,6,0,0,0,1
COLLECTION,1000,30,26,0,6,0,0,0,1
COLLECTION,800,15,32,0,6,0,1,0,0
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,800,15,39,0,0,0,0,0,1
COLLECTION,1000,30,28,0,0,0,0,0,1
COLLECTION,1000,30,26,0,0,0,0,0,1
PAIDOFF,1000,30,50,1,3,1,0,0,0
PAIDOFF,300,7,35,0,4,0,0,1,0
PAIDOFF,1000,30,43,1,5,0,1,0,0
PAIDOFF,1000,30,26,0,5,0,0,0,1
PAIDOFF,800,15,29,0,6,1,0,0,0
PAIDOFF,700,15,33,0,6,0,1,0,0
PAIDOFF,1000,15,24,0,6,0,0,0,1
PAIDOFF,1000,30,32,0,6,1,0,0,0
PAIDOFF,800,15,27,1,6,0,0,0,1
PAIDOFF,1000,15,37,0,6,0,0,0,1
PAIDOFF,800,15,24,0,6,0,1,0,0
PAIDOFF,300,7,35,0,6,0,0,0,1
PAIDOFF,1000,30,31,0,6,1,0,0,0
PAIDOFF,1000,30,37,1,6,0,0,0,1
PAIDOFF,1000,30,37,1,6,0,1,0,0
PAIDOFF,1000,30,33,0,6,0,0,0,1
PAIDOFF,800,15,43,0,6,1,0,0,0
PAIDOFF,1000,7,32,1,6,1,0,0,0
PAIDOFF,1000,15,26,0,6,0,1,0,0
PAIDOFF,1000,7,29,0,6,0,1,0,0
PAIDOFF,1000,30,30,0,6,0,0,0,1
PAIDOFF,1000,7,27,0,6,0,1,0,0
PAIDOFF,300,7,37,0,0,0,0,1,0
PAIDOFF,1000,15,29,0,0,0,0,0,1
PAIDOFF,1000,15,26,0,0,1,0,0,0
PAIDOFF,800,30,28,0,0,0,0,0,1
PAIDOFF,1000,30,38,0,0,0,0,0,1
PAIDOFF,1000,30,46,0,0,0,0,0,1
PAIDOFF,1000,30,33,0,0,1,0,0,0
PAIDOFF,1000,30,29,0,0,0,0,0,1
PAIDOFF,1000,30,29,0,0,0,0,0,1
PAIDOFF,1000,15,36,0,0,0,1,0,0
PAIDOFF,1000,30,29,0,0,0,0,0,1
PAIDOFF,1000,30,30,0,0,0,0,0,1
PAIDOFF,1000,15,36,0,0,0,1,0,0
PAIDOFF,1000,30,29,0,1,0,0,0,1
PAIDOFF,1000,30,28,0,1,0,1,0,0
PAIDOFF,800,15,23,0,1,0,0,0,1
PAIDOFF,1000,30,38,1,2,0,1,0,0
PAIDOFF,1000,30,30,1,2,0,0,0,1
COLLECTION,1000,30,33,0,4,0,1,0,0
COLLECTION,1000,15,31,1,5,0,1,0,0
COLLECTION,800,15,41,0,5,0,0,0,1
COLLECTION,1000,30,30,0,5,0,0,0,1
COLLECTION,800,15,26,1,5,0,1,0,0
COLLECTION,1000,30,20,0,5,0,1,0,0
COLLECTION,1000,15,26,0,5,0,1,0,0
COLLECTION,1000,30,24,1,6,0,1,0,0
COLLECTION,800,15,27,0,6,0,0,0,1
COLLECTION,1000,30,32,0,6,0,1,0,0
COLLECTION,800,15,29,0,6,0,0,0,1
COLLECTION,1000,30,37,0,6,0,1,0,0
COLLECTION,800,15,36,0,6,0,1,0,0
COLLECTION,1000,30,33,0,0,0,1,0,0
COLLECTION,1000,30,37,0,4,0,1,0,0
COLLECTION,800,15,27,0,5,0,0,0,1
COLLECTION,1000,15,31,0,6,0,0,0,0
COLLECTION,1000,30,28,0,6,0,0,0,0
COLLECTION,1000,30,30,0,6,0,0,0,1
COLLECTION,1000,30,36,0,6,0,1,0,0
COLLECTION,800,15,40,0,5,0,0,0,1
COLLECTION,1000,30,25,0,5,0,0,0,1
COLLECTION,1000,30,22,0,6,0,0,0,0
COLLECTION,1000,15,25,0,6,0,0,0,1
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,1000,30,30,0,6,0,1,0,0
COLLECTION,800,15,38,0,6,0,0,0,0
COLLECTION,1000,30,36,0,6,0,1,0,0
COLLECTION,1000,30,36,0,4,0,1,0,0
COLLECTION,1000,30,30,0,5,0,1,0,0
COLLECTION,800,15,32,0,5,0,0,0,0
COLLECTION,800,15,35,0,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,800,15,26,0,6,0,0,0,0
COLLECTION,800,15,40,0,4,0,0,0,1
COLLECTION,1000,15,33,0,5,0,0,0,1
COLLECTION,1000,30,29,1,6,0,0,0,0
COLLECTION,1000,30,43,0,6,0,0,0,0
COLLECTION,800,15,22,0,6,0,0,0,0
COLLECTION,800,15,36,0,4,0,0,0,0
COLLECTION,1000,30,27,0,5,0,1,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,33,0,4,0,0,0,0
COLLECTION,800,15,37,0,6,0,0,0,0
COLLECTION,1000,30,21,0,6,0,1,0,0
COLLECTION,800,15,27,0,4,0,0,0,0
COLLECTION,1000,30,21,0,5,0,0,0,0
COLLECTION,1000,30,20,0,6,0,0,0,0
COLLECTION,800,15,28,0,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,37,0,5,0,1,0,0
COLLECTION,1000,15,26,0,5,0,0,0,0
COLLECTION,800,15,35,0,6,0,1,0,0
COLLECTION,1000,30,38,0,5,0,1,0,0
COLLECTION,1000,30,27,0,5,0,0,0,0
COLLECTION,1000,30,41,0,6,0,1,0,0
COLLECTION,1000,30,26,0,6,0,0,0,0
COLLECTION,1000,15,29,0,4,0,0,0,1
COLLECTION,1000,30,38,0,6,0,0,0,0
COLLECTION,800,15,37,0,6,0,0,0,0
COLLECTION,1000,30,31,0,6,0,0,0,0
COLLECTION,800,15,28,0,6,0,0,0,0
COLLECTION,1000,15,30,0,6,0,0,0,0
COLLECTION,1000,30,29,0,5,0,0,0,1
COLLECTION,1000,30,23,0,6,0,1,0,0
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,1000,15,38,0,6,0,0,0,0
COLLECTION,800,15,25,0,5,0,0,0,0
COLLECTION,1000,30,34,0,6,0,1,0,0
COLLECTION,1000,30,33,0,4,0,1,0,0
COLLECTION,800,15,28,0,5,0,0,0,1
COLLECTION,1000,30,31,0,6,0,0,0,0
COLLECTION,800,15,22,0,5,0,0,0,0
COLLECTION,1000,30,21,0,5,0,0,0,0
COLLECTION,1000,15,39,0,6,0,1,0,0
COLLECTION,1000,15,29,0,4,0,0,0,0
COLLECTION,1000,30,32,0,0,0,0,0,0
COLLECTION,1000,15,30,0,5,0,0,0,1
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,800,15,38,0,6,0,0,0,0
COLLECTION,1000,15,39,0,6,0,1,0,0
COLLECTION,1000,30,21,0,5,0,0,0,0
COLLECTION,1000,15,25,0,6,0,0,0,1
COLLECTION,1000,15,30,0,6,0,0,0,1
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,19,0,5,0,0,0,0
COLLECTION,1000,30,26,0,3,0,0,0,0
COLLECTION,1000,15,36,0,6,0,0,0,0
COLLECTION,1000,30,27,0,6,0,1,0,0
COLLECTION,800,15,27,0,6,0,0,0,0
COLLECTION,800,15,25,0,5,0,1,0,0
COLLECTION,800,15,25,0,5,0,0,0,0
COLLECTION,1000,30,38,0,6,0,0,0,0
COLLECTION,1000,15,26,0,6,0,0,0,1
COLLECTION,1000,30,20,0,5,0,0,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,36,0,6,0,1,0,0
COLLECTION,1000,30,24,0,5,0,0,0,1
COLLECTION,1000,30,28,0,6,0,0,0,0
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,1000,30,29,0,5,0,0,0,1
COLLECTION,1000,30,22,0,6,0,0,0,0
COLLECTION,1000,30,29,1,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,0,0,1
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,800,15,26,1,5,0,1,0,0
COLLECTION,1000,30,25,0,6,0,1,0,0
COLLECTION,800,15,27,0,5,0,0,0,0
COLLECTION,1000,30,20,0,5,0,1,0,0
COLLECTION,1000,30,37,0,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,21,0,6,0,1,0,0
COLLECTION,1000,30,39,0,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,0,0,0
COLLECTION,1000,30,23,0,5,0,0,0,0
COLLECTION,1000,30,25,0,5,0,0,0,1
COLLECTION,1000,30,23,0,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,0,0,0
COLLECTION,800,15,38,0,6,0,0,0,0
COLLECTION,1000,30,25,0,5,0,0,0,1
COLLECTION,1000,15,38,0,6,0,0,0,0
COLLECTION,1000,30,26,0,6,0,0,0,0
COLLECTION,800,15,40,0,5,0,0,0,1
COLLECTION,1000,30,26,0,5,0,1,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,800,15,28,0,5,0,0,0,1
COLLECTION,1000,30,21,0,5,0,0,0,0
COLLECTION,1000,30,30,0,6,0,1,0,0
COLLECTION,800,15,26,0,4,0,0,0,0
COLLECTION,1000,15,31,0,5,0,0,0,0
COLLECTION,1000,30,27,0,5,0,1,0,0
COLLECTION,800,15,28,0,6,0,0,0,0
COLLECTION,800,15,25,0,4,0,0,0,0
COLLECTION,1000,30,37,0,6,0,1,0,0
COLLECTION,1000,30,26,0,6,0,1,0,0
COLLECTION,1000,30,32,0,0,0,0,0,0
COLLECTION,1000,15,36,0,5,0,0,0,0
COLLECTION,800,15,35,0,6,0,1,0,0
COLLECTION,1000,15,30,0,6,0,0,0,1
COLLECTION,1000,30,27,0,0,0,0,0,1
COLLECTION,1000,30,27,0,5,0,1,0,0
